job title,company name,job date,locations,skills,links
Software Automation Test Engineer (Mid-level),360Imaging -,11 days ago,"Dokki, Giza, Egypt ",Full TimeWork From HomeEntry Level · 1+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Test Automation · Agile · QA · Selenium · Jira · Computer Science,https://wuzzuf.net/jobs/p/oDEvfKHsXiKE-Software-Automation-Test-Engineer-Mid-level-360Imaging-Giza-Egypt?o=51&l=sp&t=sj&a=python|search-v3|spbg
Full Stack Developer,MEAPAL -,11 days ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Computer Science · developer · Full Stack · Full Stack Developer · Information Technology (IT) · Software Development · PHP · Laravel · Python,https://wuzzuf.net/jobs/p/ThcjKHeQtKNx-Senior-Odoo-Developer-Giza-Egypt?o=81&l=sp&t=sj&a=python|search-v3|spbg
Odoo Developer,Albassami International Group -,11 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Developer · Odoo · Information Technology (IT) · Computer Science · Python,https://wuzzuf.net/jobs/p/8UwNqvJtTjTb-Senior-Software-Engineer-dKilo-Cairo-Egypt?o=86&l=sp&t=sj&a=python|search-v3|spbg
DevOps Engineer,Confidential -,13 days ago,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 4 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Engineering · DevOps · Docker · Engineering · Jenkins · Python,https://wuzzuf.net/jobs/p/kIaV8rOqzxrg-Cloud-Solution-Architect---RD-Link-Datacenter-Giza-Egypt?o=58&l=sp&t=sj&a=python|search-v3|spbg
Functional Testing Engineer,Ejada (Cairo) -,12 days ago,"Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · TFS · Jira · Testing · JMeter · Appium · Python · Jenkins,https://wuzzuf.net/jobs/p/00eepS1Ejji0-Senior-Data-Analyst-Future-Group-Giza-Egypt?o=23&l=sp&t=sj&a=python|search-v3|spbg
Senior Front-end Web Developer,eSmartSoft -,14 days ago,"Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-end · CSS · HTML · javaScript · Software · Graphic Design · OOP · Angular,https://wuzzuf.net/jobs/p/7zC5joIpoyFj-Sr-System-Engineer-Teqneyat-Giza-Egypt?o=40&l=sp&t=sj&a=python|search-v3|spbg
Senior Data Engineer (DBT/Looker/BigQuery),360Imaging -,15 days ago,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · DBT · ML · Looker · Tableau · Python · SQL,https://wuzzuf.net/jobs/p/5eqH0x7OeHzh-DevOps-Engineer-Dubai-United-Arab-Emirates?o=54&l=sp&t=sj&a=python|search-v3|spbg
Cloud Solution Architect - R&D,Link Datacenter -,14 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Engineering · Software Engineering · Information Technology (IT) · Computer Science · Linux · FOSS · Networking,https://wuzzuf.net/jobs/p/zsChijT1lSoQ-Devops-Engineer-EXALT-Technologies-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|spbg
Telecom Customer Service & Provisioning Representative (VoIP),Tlnted -,11 days ago,"Obour City, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Customer Care · Customer Service · Customer Support · Telecom · VoIP · Voip Systems,https://wuzzuf.net/jobs/p/x5FzsloYojed-Full-Stack-Web-Developer-Cairo-Egypt?o=98&l=sp&t=sj&a=python|search-v3|spbg
Full Stack developer,eSmartSoft -,12 days ago,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · C# · Python · Information Technology (IT) · Computer Science · front-end · Java · OOP,https://wuzzuf.net/jobs/p/hCtKqkycqnZ0-Odoo-Developer-Cairo-Egypt?o=100&l=sp&t=sj&a=python|search-v3|spbg
Systems Analyst,Confidential -,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · males_preferred · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · System Analysis · Business Analysis · SQL · Data Analysis · Computer Science · Information Systems · Information Technology (IT),https://wuzzuf.net/jobs/p/zmAd2T30u1sr-Business-Analysis-Supervisor-Ibn-Sina-Pharma-Cairo-Egypt?o=126&l=sp&t=sj&a=python|search-v3|spbg
Devops Engineer,EXALT Technologies -,19 days ago,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Development · Software Engineering · Computer Science · SW Development · Python · Bash Scripting · DevOps,https://wuzzuf.net/jobs/p/ITaezijn1yin-Full-Stack-Software-Engineer-Python---React-JRM-for-Communications-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|spbg
